Year,Wage_bracket_0_to_9999,Contribution_to_GDP,Growth_of_GDP,Industry_of_Accommodation And Food Service Activities,Industry_of_Activities Of Extraterritorial Organizations And Bodies,Industry_of_Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,Industry_of_Administrative And Support Service Activities,"Industry_of_Agriculture, Forestry And Fishing","Industry_of_Arts, Entertainment And Recreation",Industry_of_Construction,Industry_of_Education,"Industry_of_Electricity, Gas, Steam And Air Conditioning Supply",Industry_of_Financial And Insurance Activities,Industry_of_Human Health And Social Work Activities,Industry_of_Information And Communication,Industry_of_Manufacturing,Industry_of_Mining And Quarrying,Industry_of_Other Service Activities,"Industry_of_Professional, Scientific And Technical Activities",Industry_of_Public Administration And Defence; Compulsory Social Security,Industry_of_Real Estate Activities,Industry_of_Transportation And Storage,"Industry_of_Water Supply; Sewerage, Waste Management And Remediation Activities",Industry_of_Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles
2011-01-01,12141,23.8,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,59,0.7,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-01-01,632,9.6,3.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-01-01,1680,0.4,-4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,1680,0.7,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-01,1680,4.1,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,56,10.5,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-01-01,821,7.8,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011-01-01,318,1.7,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,48,2.2,4.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,1680,6.3,7.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,156,4.4,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-01-01,2613,2.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
