Year,Unnamed: 0,Industry,Contribution_to_GDP,Growth_of_GDP,Wage_bracket_0_to_9999,Wage_bracket_10000_to_14999,Wage_bracket_15000_to_19999,Wage_bracket_20000_to_24999,Wage_bracket_25000_to_29999,Wage_bracket_30000_to_49999,Wage_bracket_50000_to_99999,Wage_bracket_100000_plus,Total_number_in_wage_employment
2011-01-01,0,"Agriculture, Forestry And Fishing",23.8,1.5,12141,36238,111549,100240,37712,23976,12935,6631,341422
2011-01-01,1,Mining And Quarrying,0.7,7.1,59,101,944,1586,1965,2312,1752,13,8732
2011-01-01,2,Manufacturing,9.6,3.4,632,1723,17205,50949,54427,76329,70040,5580,276885
2011-01-01,3,"Electricity, Gas, Steam And Air Conditioning Supply",0.4,-4.4,1680,101,45,3229,690,1413,6830,30,14018
2011-01-01,4,"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,3.0,1680,2498,9143,3036,1983,1970,818,83,21211
2011-01-01,5,Construction,4.1,4.3,1680,714,2465,17669,16531,35028,32245,2593,108925
2011-01-01,6,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,10.5,7.3,56,2179,4363,20215,25842,52176,57676,8174,170681
2011-01-01,7,Transportation And Storage,7.8,5.4,821,386,841,11032,16544,22798,22740,1296,76458
2011-01-01,8,Accommodation And Food Service Activities,1.7,4.9,318,269,1245,9485,12600,27588,17001,2303,70809
2011-01-01,9,Information And Communication,2.2,4.3,48,49,105,2684,8438,41299,24220,1389,78232
2011-01-01,10,Financial And Insurance Activities,6.3,7.8,1680,2498,263,8004,2253,6161,24939,7697,53495
2011-01-01,11,Real Estate Activities,4.4,3.6,156,417,60,379,807,916,741,109,3585
2011-01-01,12,"Professional, Scientific And Technical Activities",2.1,4.1,2613,6949,985,6328,14552,14233,12356,1827,59843
2011-01-01,13,Administrative And Support Service Activities,2.3,3.0,23,84,218,461,723,466,283,70,2328
2011-01-01,14,Public Administration And Defence; Compulsory Social Security,5.0,2.5,1142,818,5425,27437,26831,66784,39709,3374,171520
2011-01-01,15,Education,5.8,4.8,214,4600,44832,85383,126000,75081,37068,11262,384440
2011-01-01,16,Human Health And Social Work Activities,2.4,3.5,1680,1245,11839,22546,32602,20522,9788,2975,103197
2011-01-01,17,"Arts, Entertainment And Recreation",3.2,4.6,1680,35,332,631,909,574,275,84,4520
2011-01-01,18,Other Service Activities,0.4,2.0,1680,349,3302,9493,14735,13001,9671,878,53109
2011-01-01,19,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,4.403012048192771,5.354037267080743,1680,292,772,17654,24002,32508,30382,4186,111476
2011-01-01,20,Activities Of Extraterritorial Organizations And Bodies,4.403012048192771,5.354037267080743,1680,2498,9143,241,71,236,446,15,14330
2012-01-01,21,"Agriculture, Forestry And Fishing",26.2,2.8,12008,35842,110330,99145,37300,23714,12794,6559,337692
2012-01-01,22,Mining And Quarrying,1.1,19.0,61,104,973,1635,2026,2383,1806,13,9001
2012-01-01,23,Manufacturing,11.0,-0.6,618,1686,16835,49852,53256,74686,68533,5460,270926
2012-01-01,24,"Electricity, Gas, Steam And Air Conditioning Supply",1.1,13.6,1680,117,52,3730,797,1632,7890,35,15933
2012-01-01,25,"Water Supply; Sewerage, Waste Management And Remediation Activities",0.9,3.1,1680,2498,9143,3299,2155,2141,889,90,21895
2012-01-01,26,Construction,4.5,11.3,1680,773,2669,19133,17901,37931,34917,2808,117812
2012-01-01,27,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.8,7.0,65,2527,5059,23441,29966,60502,66880,9478,197918
2012-01-01,28,Transportation And Storage,8.0,2.6,807,379,826,10840,16257,22402,22345,1273,75129
2012-01-01,29,Accommodation And Food Service Activities,1.3,3.1,310,262,1212,9232,12264,26852,16547,2242,68921
2012-01-01,30,Information And Communication,1.6,2.6,53,54,115,2941,9246,45255,26540,1522,85726
2012-01-01,31,Financial And Insurance Activities,5.9,6.0,1680,2498,329,10009,2817,7704,31187,9625,65849
2012-01-01,32,Real Estate Activities,8.0,4.0,161,430,62,391,833,946,765,113,3701
2012-01-01,33,"Professional, Scientific And Technical Activities",1.0,6.2,2738,7282,1032,6631,15250,14916,12949,1915,62713
2012-01-01,34,Administrative And Support Service Activities,1.3,2.3,44,161,419,885,1388,895,543,134,4469
2012-01-01,35,Public Administration And Defence; Compulsory Social Security,4.4,4.0,1381,989,6561,33184,32451,80772,48026,4081,207445
2012-01-01,36,Education,5.4,11.1,214,4605,44877,85468,126125,75156,37105,11273,384823
2012-01-01,37,Human Health And Social Work Activities,1.7,-2.8,1680,1284,12211,23254,33626,21166,10095,3068,106384
2012-01-01,38,"Arts, Entertainment And Recreation",0.1,-2.6,1680,80,755,1435,2067,1305,625,191,8138
2012-01-01,39,Other Service Activities,0.6,4.0,1680,191,1811,5205,8080,7129,5303,481,29880
2012-01-01,40,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.6,1.5,1680,294,777,17761,24148,32705,30566,4186,112117
2012-01-01,41,Activities Of Extraterritorial Organizations And Bodies,-2.6,5.354037267080743,1680,2498,9143,249,73,244,461,16,14364
2013-01-01,42,"Agriculture, Forestry And Fishing",26.4,5.4,12328,36797,113270,101786,38294,24395,13135,6733,346738
2013-01-01,43,Mining And Quarrying,0.9,-4.2,64,109,1018,1710,2118,2492,1889,14,9414
2013-01-01,44,Manufacturing,10.7,5.6,640,1744,17418,51580,55101,77225,70907,5649,280264
2013-01-01,45,"Electricity, Gas, Steam And Air Conditioning Supply",1.1,9.8,1680,120,54,3840,821,1680,8123,36,16354
2013-01-01,46,"Water Supply; Sewerage, Waste Management And Remediation Activities",0.9,0.9,1680,2498,9143,3656,2388,2372,985,100,22822
2013-01-01,47,Construction,4.5,6.1,1680,867,2994,21459,20077,42542,39164,3149,131932
2013-01-01,48,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,8.0,8.4,70,2712,5431,25164,32168,64850,71796,10175,212366
2013-01-01,49,Transportation And Storage,8.0,1.3,820,385,840,11017,16522,22769,22710,1294,76357
2013-01-01,50,Accommodation And Food Service Activities,1.2,-4.6,331,280,1295,9869,13111,28706,17690,2397,73679
2013-01-01,51,Information And Communication,1.4,12.5,57,58,124,3181,10000,48942,28702,1646,92710
2013-01-01,52,Financial And Insurance Activities,6.6,8.2,1680,2498,357,10879,3062,8374,33896,10461,71207
2013-01-01,53,Real Estate Activities,7.9,4.1,166,445,64,404,861,977,791,117,3825
2013-01-01,54,"Professional, Scientific And Technical Activities",1.0,6.7,2856,7596,1077,6919,15908,15559,13507,1997,65419
2013-01-01,55,Administrative And Support Service Activities,1.2,1.2,48,175,454,960,1506,971,589,146,4849
2013-01-01,56,Public Administration And Defence; Compulsory Social Security,4.4,2.8,1450,1039,6888,34837,34067,84846,50419,4284,217830
2013-01-01,57,Education,5.3,6.3,223,4796,46740,89016,131362,78326,38645,11741,400849
2013-01-01,58,Human Health And Social Work Activities,1.6,7.7,1680,1383,13152,25047,36218,22798,10874,3305,114457
2013-01-01,59,"Arts, Entertainment And Recreation",0.1,3.0,1680,82,779,1481,2133,1347,645,197,8344
2013-01-01,60,Other Service Activities,0.6,7.3,1680,204,1910,5492,8525,7522,5595,508,31436
2013-01-01,61,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.5,1.5,1680,303,802,18336,24929,33764,31555,4186,115555
2013-01-01,62,Activities Of Extraterritorial Organizations And Bodies,-2.6,5.354037267080743,1680,2498,9143,257,76,252,475,16,14397
2014-01-01,63,"Agriculture, Forestry And Fishing",27.5,4.4,13312,21703,81626,77773,49372,50452,33670,5373,333281
2014-01-01,64,Mining And Quarrying,0.8,14.9,82,115,3924,1537,2391,2751,2050,4186,17036
2014-01-01,65,Manufacturing,10.0,2.5,773,1101,13563,47022,61063,81879,76193,5862,287456
2014-01-01,66,"Electricity, Gas, Steam And Air Conditioning Supply",1.0,7.3,1680,130,180,3379,923,1907,7709,1052,16960
2014-01-01,67,"Water Supply; Sewerage, Waste Management And Remediation Activities",0.8,3.9,1680,2498,9143,3313,2685,3259,1056,103,23737
2014-01-01,68,Construction,4.9,13.1,1680,574,2447,29289,16127,50060,41943,3259,145379
2014-01-01,69,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,8.0,6.9,94,1680,4343,25891,36375,75733,66604,9536,220256
2014-01-01,70,Transportation And Storage,8.6,5.5,854,288,786,9811,18434,28129,20080,1339,79721
2014-01-01,71,Accommodation And Food Service Activities,0.9,-16.7,476,225,1138,8788,14654,26579,18850,2455,73165
2014-01-01,72,Information And Communication,1.2,14.5,96,93,1235,6097,10575,46253,31670,3144,99163
2014-01-01,73,Financial And Insurance Activities,6.8,8.3,1680,2498,1408,7198,3527,9042,36031,10378,71762
2014-01-01,74,Real Estate Activities,7.7,5.6,226,309,188,341,657,1118,923,121,3883
2014-01-01,75,"Professional, Scientific And Technical Activities",1.0,4.1,2643,4521,970,6129,17753,18506,14538,1542,66602
2014-01-01,76,Administrative And Support Service Activities,1.1,2.4,50,162,490,740,1497,1131,677,151,4898
2014-01-01,77,Public Administration And Defence; Compulsory Social Security,4.5,5.6,1555,1216,29154,50015,35540,77568,32508,5880,233436
2014-01-01,78,Education,5.2,7.8,980,7700,18893,67197,118790,118881,103555,13809,449805
2014-01-01,79,Human Health And Social Work Activities,1.7,8.1,1680,881,10363,22138,40999,28139,12320,3419,119939
2014-01-01,80,"Arts, Entertainment And Recreation",0.1,3.0,1680,107,794,1330,2079,1098,803,515,8406
2014-01-01,81,Other Service Activities,0.6,6.5,1680,177,1452,4782,9583,8629,5348,518,32169
2014-01-01,82,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.5,1.5,1680,240,696,16573,28260,36941,29397,4186,117973
2014-01-01,83,Activities Of Extraterritorial Organizations And Bodies,-2.5,5.354037267080743,1680,2498,9143,195,86,295,312,220,14429
2015-01-01,84,"Agriculture, Forestry And Fishing",30.2,5.3,10991,17833,85016,85634,48156,53091,33093,2932,336746
2015-01-01,85,Mining And Quarrying,0.9,12.3,260,250,4517,1784,2807,3189,2389,4186,19382
2015-01-01,86,Manufacturing,9.4,3.6,1076,1297,13891,49645,62759,85212,80974,5983,300837
2015-01-01,87,"Electricity, Gas, Steam And Air Conditioning Supply",1.4,11.5,1680,82,155,3844,1024,2170,8834,1197,18986
2015-01-01,88,"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,2.7,1680,2498,9143,3800,3101,3745,1284,772,26023
2015-01-01,89,Construction,4.9,13.8,1680,5176,4231,31151,17369,53561,46783,4698,164649
2015-01-01,90,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.5,5.9,504,1856,4699,28068,39599,82229,72649,10260,239864
2015-01-01,91,Transportation And Storage,8.1,8.0,1003,571,928,10451,19665,29996,21508,1490,85612
2015-01-01,92,Accommodation And Food Service Activities,0.8,-1.3,231,152,592,9378,15688,28461,20276,2585,77363
2015-01-01,93,Information And Communication,1.5,7.4,895,917,1408,6689,11637,50732,34834,3492,110604
2015-01-01,94,Financial And Insurance Activities,6.7,9.4,1680,2498,1915,8038,3919,10074,40121,11606,79851
2015-01-01,95,Real Estate Activities,7.5,7.2,237,326,194,358,692,1183,980,126,4096
2015-01-01,96,"Professional, Scientific And Technical Activities",0.9,3.6,2813,4815,1009,6485,18797,19617,15481,1637,70654
2015-01-01,97,Administrative And Support Service Activities,1.0,1.5,108,193,535,807,1639,1233,744,183,5442
2015-01-01,98,Public Administration And Defence; Compulsory Social Security,4.3,5.5,2653,2335,30429,48922,34930,75968,30022,6021,231280
2015-01-01,99,Education,4.9,4.9,2116,7122,21877,77983,140233,138169,120910,16196,524606
2015-01-01,100,Human Health And Social Work Activities,1.7,5.8,1680,824,11104,23858,44428,30375,13348,3678,129295
2015-01-01,101,"Arts, Entertainment And Recreation",0.1,1.5,1680,45,832,1403,2209,1153,852,534,8708
2015-01-01,102,Other Service Activities,0.6,6.0,1680,504,1583,4097,10284,10267,5760,659,34834
2015-01-01,103,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.5,1.5,1680,312,899,16037,29698,38699,28711,4186,120222
2015-01-01,104,Activities Of Extraterritorial Organizations And Bodies,-2.6,5.354037267080743,1680,2498,9143,216,105,320,332,244,14538
2016-01-01,105,"Agriculture, Forestry And Fishing",31.1,4.7,10991,17833,85016,85634,48156,53091,33093,2932,336746
2016-01-01,106,Mining And Quarrying,0.8,9.5,260,250,4517,1784,2807,3189,2389,4186,19382
2016-01-01,107,Manufacturing,9.3,3.1,1076,1297,13891,49645,62759,85212,80974,5983,300837
2016-01-01,108,"Electricity, Gas, Steam And Air Conditioning Supply",1.9,9.5,1680,82,155,3844,1024,2170,8834,1197,18986
2016-01-01,109,"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,5.8,1680,2498,9143,3800,3101,3745,1284,772,26023
2016-01-01,110,Construction,5.1,9.9,1680,5176,4231,31151,17369,53561,46783,4698,164649
2016-01-01,111,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.2,3.7,504,1856,4699,28068,39599,82229,72649,10260,239864
2016-01-01,112,Transportation And Storage,8.1,6.5,1003,571,928,10451,19665,29996,21508,1490,85612
2016-01-01,113,Accommodation And Food Service Activities,0.7,13.3,231,152,592,9378,15688,28461,20276,2585,77363
2016-01-01,114,Information And Communication,1.5,9.9,895,917,1408,6689,11637,50732,34834,3492,110604
2016-01-01,115,Financial And Insurance Activities,7.1,6.9,1680,2498,1915,8038,3919,10074,40121,11606,79851
2016-01-01,116,Real Estate Activities,7.6,8.8,237,326,194,358,692,1183,980,126,4096
2016-01-01,117,"Professional, Scientific And Technical Activities",0.9,5.1,2813,4815,1009,6485,18797,19617,15481,1637,70654
2016-01-01,118,Administrative And Support Service Activities,1.0,3.9,108,193,535,807,1639,1233,744,183,5442
2016-01-01,119,Public Administration And Defence; Compulsory Social Security,3.9,5.6,2653,2335,30429,48922,34930,75968,30022,6021,231280
2016-01-01,120,Education,4.4,5.3,2116,7122,21877,77983,140233,138169,120910,16196,524606
2016-01-01,121,Human Health And Social Work Activities,1.7,4.8,1680,824,11104,23858,44428,30375,13348,3678,129295
2016-01-01,122,"Arts, Entertainment And Recreation",0.1,5.4,1680,45,832,1403,2209,1153,852,534,8708
2016-01-01,123,Other Service Activities,0.6,6.0,1680,504,1583,4097,10284,10267,5760,659,34834
2016-01-01,124,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.5,1.4,1680,312,899,16037,29698,38699,28711,4186,120222
2016-01-01,125,Activities Of Extraterritorial Organizations And Bodies,-2.8,5.354037267080743,1680,2498,9143,216,105,320,332,244,14538
2017-01-01,126,"Agriculture, Forestry And Fishing",34.8,1.9,7225,13137,44255,28262,49063,133384,53516,3263,332105
2017-01-01,127,Mining And Quarrying,0.8,4.5,258,248,3882,1770,2785,3164,2971,4186,19264
2017-01-01,128,Manufacturing,8.0,0.5,1085,1308,9808,27820,44289,88576,124458,6034,303378
2017-01-01,129,"Electricity, Gas, Steam And Air Conditioning Supply",1.8,8.9,1680,90,170,4206,1120,2374,9665,1310,20615
2017-01-01,130,"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,2.6,1680,2498,9143,4356,3555,4293,1472,885,27882
2017-01-01,131,Construction,5.6,8.5,1680,3133,4359,27638,17896,66198,43845,4840,169589
2017-01-01,132,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.4,5.7,431,1381,4910,13893,35886,90247,93506,10504,250758
2017-01-01,133,Transportation And Storage,7.5,7.2,710,586,953,10730,9189,30796,33402,1530,87896
2017-01-01,134,Accommodation And Food Service Activities,0.7,14.3,238,157,610,9671,16178,29350,21279,2296,79779
2017-01-01,135,Information And Communication,1.3,11.0,748,971,1491,7084,13327,52922,36891,3699,117133
2017-01-01,136,Financial And Insurance Activities,7.1,2.8,1680,2498,1891,8036,2869,9946,44504,7466,78890
2017-01-01,137,Real Estate Activities,0.8,6.1,244,336,200,369,713,1219,1010,130,4221
2017-01-01,138,"Professional, Scientific And Technical Activities",0.9,4.5,1739,3511,1054,6776,15640,20497,22895,1710,73822
2017-01-01,139,Administrative And Support Service Activities,3.6,3.0,114,204,566,853,1733,1304,787,193,5754
2017-01-01,140,Public Administration And Defence; Compulsory Social Security,4.0,6.5,1510,1850,24476,26544,15634,124197,91552,6831,292594
2017-01-01,141,Education,1.5,5.1,1231,4532,14966,3435,58961,137885,282385,56221,559616
2017-01-01,142,Human Health And Social Work Activities,0.1,4.3,1680,897,8090,11333,57963,47080,11390,6005,144438
2017-01-01,143,"Arts, Entertainment And Recreation",0.6,7.0,1680,46,844,1423,2241,1170,864,542,8810
2017-01-01,144,Other Service Activities,0.4,7.0,1680,527,1056,4287,10758,10743,6627,693,36371
2017-01-01,145,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,-2.0,1.6,1680,315,907,9534,22437,39039,43133,4186,121231
2017-01-01,146,Activities Of Extraterritorial Organizations And Bodies,8.3,4.8,1680,2498,9143,226,110,336,348,256,14597
2018-01-01,147,"Agriculture, Forestry And Fishing",34.2,6.4,11174,4391,11212,17399,25218,167268,97014,2931,336607
2018-01-01,148,Mining And Quarrying,0.8,2.8,263,253,4567,1804,2838,3224,2415,4186,19550
2018-01-01,149,Manufacturing,7.7,4.2,1100,1326,9203,12758,73061,108127,95899,6117,307591
2018-01-01,150,"Electricity, Gas, Steam And Air Conditioning Supply",1.8,10.5,1680,91,171,4245,1131,2396,9756,1322,20792
2018-01-01,151,"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,1.6,1680,2498,9143,4493,3667,4428,1518,913,28340
2018-01-01,152,Construction,5.4,6.6,1680,3449,4454,20007,18285,45173,75251,4946,173245
